,yoji,kanji,parts,yomi
0,悪漢無頼,悪,11,あっかんぶらい
1,悪漢無頼,漢,13,あっかんぶらい
2,悪漢無頼,無,12,あっかんぶらい
3,悪漢無頼,頼,16,あっかんぶらい
4,悪声狼藉,悪,11,あくせいろうぜき
5,悪声狼藉,声,7,あくせいろうぜき
6,悪声狼藉,狼,10,あくせいろうぜき
7,悪声狼藉,藉,17,あくせいろうぜき
8,暗箭傷人,暗,13,あんせんしょうじん
9,暗箭傷人,箭,15,あんせんしょうじん
10,暗箭傷人,傷,13,あんせんしょうじん
11,暗箭傷人,人,2,あんせんしょうじん
12,按図索驥,按,9,あんずさくき
13,按図索驥,図,7,あんずさくき
14,按図索驥,索,10,あんずさくき
15,按図索驥,驥,26,あんずさくき
16,晏子高節,晏,10,あんしのこうせつ
17,晏子高節,子,3,あんしのこうせつ
18,晏子高節,高,10,あんしのこうせつ
19,晏子高節,節,13,あんしのこうせつ
20,暗香疎影,暗,13,あんこうそえい
21,暗香疎影,香,9,あんこうそえい
22,暗香疎影,疎,12,あんこうそえい
23,暗香疎影,影,15,あんこうそえい
24,按甲休兵,按,9,あんこうきゅうへい
25,按甲休兵,甲,5,あんこうきゅうへい
26,按甲休兵,休,6,あんこうきゅうへい
27,按甲休兵,兵,7,あんこうきゅうへい
28,安居危思,安,6,あんきょきし
29,安居危思,居,8,あんきょきし
30,安居危思,危,6,あんきょきし
31,安居危思,思,9,あんきょきし
32,晏嬰狐裘,晏,10,あんえい（の）こきゅう
33,晏嬰狐裘,嬰,17,あんえい（の）こきゅう
34,晏嬰狐裘,狐,9,あんえい（の）こきゅう
35,晏嬰狐裘,裘,13,あんえい（の）こきゅう
36,阿轆轆地,阿,8,あろくろくじ
37,阿轆轆地,轆,18,あろくろくじ
38,阿轆轆地,轆,18,あろくろくじ
39,阿轆轆地,地,6,あろくろくじ
40,阿諛傾奪,阿,8,あゆけいだつ
41,阿諛傾奪,諛,15,あゆけいだつ
42,阿諛傾奪,傾,13,あゆけいだつ
43,阿諛傾奪,奪,14,あゆけいだつ
44,阿爺下頷,阿,8,あやあがん
45,阿爺下頷,爺,13,あやあがん
46,阿爺下頷,下,3,あやあがん
47,阿爺下頷,頷,16,あやあがん
48,遏悪揚善,遏,13,あつあくようぜん
49,遏悪揚善,悪,11,あつあくようぜん
50,遏悪揚善,揚,12,あつあくようぜん
51,遏悪揚善,善,12,あつあくようぜん
52,可惜身命,可,5,あたらしんみょう
53,可惜身命,惜,11,あたらしんみょう
54,可惜身命,身,7,あたらしんみょう
55,可惜身命,命,8,あたらしんみょう
56,浅瀬仇波,浅,9,あさせあだなみ
57,浅瀬仇波,瀬,19,あさせあだなみ
58,浅瀬仇波,仇,4,あさせあだなみ
59,浅瀬仇波,波,8,あさせあだなみ
60,哀鳴啾啾,哀,9,あいめいしゅうしゅう
61,哀鳴啾啾,鳴,14,あいめいしゅうしゅう
62,哀鳴啾啾,啾,12,あいめいしゅうしゅう
63,哀鳴啾啾,啾,12,あいめいしゅうしゅう
64,哀糸豪竹,哀,9,あいしごうちく
65,哀糸豪竹,糸,6,あいしごうちく
66,哀糸豪竹,豪,14,あいしごうちく
67,哀糸豪竹,竹,6,あいしごうちく
68,哀鴻遍野,哀,9,あいこうへんや
69,哀鴻遍野,鴻,17,あいこうへんや
70,哀鴻遍野,遍,12,あいこうへんや
71,哀鴻遍野,野,11,あいこうへんや
72,阿諛便佞,阿,8,あゆべんねい
73,阿諛便佞,諛,15,あゆべんねい
74,阿諛便佞,便,9,あゆべんねい
75,阿諛便佞,佞,7,あゆべんねい
76,暗雲低迷,暗,13,あんうんていめい
77,暗雲低迷,雲,12,あんうんていめい
78,暗雲低迷,低,7,あんうんていめい
79,暗雲低迷,迷,9,あんうんていめい
80,安居楽業,安,6,あんきょらくぎょう
81,安居楽業,居,8,あんきょらくぎょう
82,安居楽業,楽,13,あんきょらくぎょう
83,安居楽業,業,13,あんきょらくぎょう
84,安歩当車,安,6,あんぽとうしゃ
85,安歩当車,歩,8,あんぽとうしゃ
86,安歩当車,当,6,あんぽとうしゃ
87,安歩当車,車,7,あんぽとうしゃ
88,安如泰山,安,6,あんにょたいざん
89,安如泰山,如,6,あんにょたいざん
90,安如泰山,泰,10,あんにょたいざん
91,安如泰山,山,3,あんにょたいざん
92,暗渡陳倉,暗,13,あんとちんそう
93,暗渡陳倉,渡,12,あんとちんそう
94,暗渡陳倉,陳,11,あんとちんそう
95,暗渡陳倉,倉,10,あんとちんそう
96,安常処順,安,6,あんじょうしょじゅん
97,安常処順,常,11,あんじょうしょじゅん
98,安常処順,処,5,あんじょうしょじゅん
99,安常処順,順,12,あんじょうしょじゅん
100,暗黒沈静,暗,13,あんこくちんせい
101,暗黒沈静,黒,11,あんこくちんせい
102,暗黒沈静,沈,7,あんこくちんせい
103,暗黒沈静,静,14,あんこくちんせい
104,暗香浮動,暗,13,あんこうふどう
105,暗香浮動,香,9,あんこうふどう
106,暗香浮動,浮,10,あんこうふどう
107,暗香浮動,動,11,あんこうふどう
108,鴉巣生鳳,鴉,15,あそうせいほう
109,鴉巣生鳳,巣,11,あそうせいほう
110,鴉巣生鳳,生,5,あそうせいほう
111,鴉巣生鳳,鳳,14,あそうせいほう
112,愛楊葉児,愛,13,あいようように
113,愛楊葉児,楊,13,あいようように
114,愛楊葉児,葉,12,あいようように
115,愛楊葉児,児,7,あいようように
116,安土重遷,安,6,あんどじゅうせん
117,安土重遷,土,3,あんどじゅうせん
118,安土重遷,重,9,あんどじゅうせん
119,安土重遷,遷,15,あんどじゅうせん
120,安分守己,安,6,あんぶんしゅき
121,安分守己,分,4,あんぶんしゅき
122,安分守己,守,6,あんぶんしゅき
123,安分守己,己,3,あんぶんしゅき
124,暗香蓊葧,暗,13,あんこうおうぼつ
125,暗香蓊葧,香,9,あんこうおうぼつ
126,暗香蓊葧,蓊,13,あんこうおうぼつ
127,暗香蓊葧,葧,12,あんこうおうぼつ
128,安閑恬静,安,6,あんかんてんせい
129,安閑恬静,閑,12,あんかんてんせい
130,安閑恬静,恬,9,あんかんてんせい
131,安閑恬静,静,14,あんかんてんせい
132,阿衡之佐,阿,8,あこうのさ
133,阿衡之佐,衡,16,あこうのさ
134,阿衡之佐,之,3,あこうのさ
135,阿衡之佐,佐,7,あこうのさ
136,愛屋及烏,愛,13,あいおくきゅうう
137,愛屋及烏,屋,9,あいおくきゅうう
138,愛屋及烏,及,3,あいおくきゅうう
139,愛屋及烏,烏,10,あいおくきゅうう
140,愛及屋烏,愛,13,あいきゅうおくう
141,愛及屋烏,及,3,あいきゅうおくう
142,愛及屋烏,屋,9,あいきゅうおくう
143,愛及屋烏,烏,10,あいきゅうおくう
144,哀毀骨立,哀,9,あいきこつりつ
145,哀毀骨立,毀,13,あいきこつりつ
146,哀毀骨立,骨,10,あいきこつりつ
147,哀毀骨立,立,5,あいきこつりつ
148,安楽浄土,安,6,あんらくじょうど
149,安楽浄土,楽,13,あんらくじょうど
150,安楽浄土,浄,9,あんらくじょうど
151,安楽浄土,土,3,あんらくじょうど
152,哀矜懲創,哀,9,あいきょうちょうそう
153,哀矜懲創,矜,9,あいきょうちょうそう
154,哀矜懲創,懲,18,あいきょうちょうそう
155,哀矜懲創,創,12,あいきょうちょうそう
156,愛月撤灯,愛,13,あいげつてっとう
157,愛月撤灯,月,4,あいげつてっとう
158,愛月撤灯,撤,15,あいげつてっとう
159,愛月撤灯,灯,6,あいげつてっとう
160,按図索駿,按,9,あんずさくしゅん
161,按図索駿,図,7,あんずさくしゅん
162,按図索駿,索,10,あんずさくしゅん
163,按図索駿,駿,17,あんずさくしゅん
164,按部就班,按,9,あんぶしゅうはん
165,按部就班,部,11,あんぶしゅうはん
166,按部就班,就,12,あんぶしゅうはん
167,按部就班,班,10,あんぶしゅうはん
168,悪婦破家,悪,11,あくふはか
169,悪婦破家,婦,11,あくふはか
170,悪婦破家,破,10,あくふはか
171,悪婦破家,家,10,あくふはか
172,安心立命,安,6,あんしんりつめい
173,安心立命,心,4,あんしんりつめい
174,安心立命,立,5,あんしんりつめい
175,安心立命,命,8,あんしんりつめい
176,相碁井目,相,9,あいごせいもく
177,相碁井目,碁,13,あいごせいもく
178,相碁井目,井,4,あいごせいもく
179,相碁井目,目,5,あいごせいもく
180,愛執染着,愛,13,あいしゅうぜんちゃく
181,愛執染着,執,11,あいしゅうぜんちゃく
182,愛執染着,染,9,あいしゅうぜんちゃく
183,愛執染着,着,12,あいしゅうぜんちゃく
184,阿諛追従,阿,8,あゆついしょう
185,阿諛追従,諛,15,あゆついしょう
186,阿諛追従,追,9,あゆついしょう
187,阿諛追従,従,10,あゆついしょう
188,阿諛迎合,阿,8,あゆげいごう
189,阿諛迎合,諛,15,あゆげいごう
190,阿諛迎合,迎,7,あゆげいごう
191,阿諛迎合,合,6,あゆげいごう
192,蛙鳴蝉噪,蛙,12,あめいせんそう
193,蛙鳴蝉噪,鳴,14,あめいせんそう
194,蛙鳴蝉噪,蝉,15,あめいせんそう
195,蛙鳴蝉噪,噪,16,あめいせんそう
196,阿附迎合,阿,8,あふげいごう
197,阿附迎合,附,8,あふげいごう
198,阿附迎合,迎,7,あふげいごう
199,阿附迎合,合,6,あふげいごう
200,阿鼻地獄,阿,8,あびじごく
201,阿鼻地獄,鼻,14,あびじごく
202,阿鼻地獄,地,6,あびじごく
203,阿鼻地獄,獄,14,あびじごく
204,阿鼻叫喚,阿,8,あびきょうかん
205,阿鼻叫喚,鼻,14,あびきょうかん
206,阿鼻叫喚,叫,6,あびきょうかん
207,阿鼻叫喚,喚,12,あびきょうかん
208,悪鬼羅刹,悪,11,あっきらせつ
209,悪鬼羅刹,鬼,10,あっきらせつ
210,悪鬼羅刹,羅,19,あっきらせつ
211,悪鬼羅刹,刹,8,あっきらせつ
