yoji,kanji,parts,yomi
悪漢無頼,悪,11,あっかんぶらい
悪漢無頼,漢,13,あっかんぶらい
悪漢無頼,無,12,あっかんぶらい
悪漢無頼,頼,16,あっかんぶらい
悪声狼藉,悪,11,あくせいろうぜき
悪声狼藉,声,7,あくせいろうぜき
悪声狼藉,狼,10,あくせいろうぜき
悪声狼藉,藉,17,あくせいろうぜき
暗箭傷人,暗,13,あんせんしょうじん
暗箭傷人,箭,15,あんせんしょうじん
暗箭傷人,傷,13,あんせんしょうじん
暗箭傷人,人,2,あんせんしょうじん
按図索驥,按,9,あんずさくき
按図索驥,図,7,あんずさくき
按図索驥,索,10,あんずさくき
按図索驥,驥,26,あんずさくき
晏子高節,晏,10,あんしのこうせつ
晏子高節,子,3,あんしのこうせつ
晏子高節,高,10,あんしのこうせつ
晏子高節,節,13,あんしのこうせつ
暗香疎影,暗,13,あんこうそえい
暗香疎影,香,9,あんこうそえい
暗香疎影,疎,12,あんこうそえい
暗香疎影,影,15,あんこうそえい
按甲休兵,按,9,あんこうきゅうへい
按甲休兵,甲,5,あんこうきゅうへい
按甲休兵,休,6,あんこうきゅうへい
按甲休兵,兵,7,あんこうきゅうへい
安居危思,安,6,あんきょきし
安居危思,居,8,あんきょきし
安居危思,危,6,あんきょきし
安居危思,思,9,あんきょきし
晏嬰狐裘,晏,10,あんえい（の）こきゅう
晏嬰狐裘,嬰,17,あんえい（の）こきゅう
晏嬰狐裘,狐,9,あんえい（の）こきゅう
晏嬰狐裘,裘,13,あんえい（の）こきゅう
阿轆轆地,阿,8,あろくろくじ
阿轆轆地,轆,18,あろくろくじ
阿轆轆地,轆,18,あろくろくじ
阿轆轆地,地,6,あろくろくじ
阿諛傾奪,阿,8,あゆけいだつ
阿諛傾奪,諛,15,あゆけいだつ
阿諛傾奪,傾,13,あゆけいだつ
阿諛傾奪,奪,14,あゆけいだつ
阿爺下頷,阿,8,あやあがん
阿爺下頷,爺,13,あやあがん
阿爺下頷,下,3,あやあがん
阿爺下頷,頷,16,あやあがん
遏悪揚善,遏,13,あつあくようぜん
遏悪揚善,悪,11,あつあくようぜん
遏悪揚善,揚,12,あつあくようぜん
遏悪揚善,善,12,あつあくようぜん
可惜身命,可,5,あたらしんみょう
可惜身命,惜,11,あたらしんみょう
可惜身命,身,7,あたらしんみょう
可惜身命,命,8,あたらしんみょう
浅瀬仇波,浅,9,あさせあだなみ
浅瀬仇波,瀬,19,あさせあだなみ
浅瀬仇波,仇,4,あさせあだなみ
浅瀬仇波,波,8,あさせあだなみ
哀鳴啾啾,哀,9,あいめいしゅうしゅう
哀鳴啾啾,鳴,14,あいめいしゅうしゅう
哀鳴啾啾,啾,12,あいめいしゅうしゅう
哀鳴啾啾,啾,12,あいめいしゅうしゅう
哀糸豪竹,哀,9,あいしごうちく
哀糸豪竹,糸,6,あいしごうちく
哀糸豪竹,豪,14,あいしごうちく
哀糸豪竹,竹,6,あいしごうちく
哀鴻遍野,哀,9,あいこうへんや
哀鴻遍野,鴻,17,あいこうへんや
哀鴻遍野,遍,12,あいこうへんや
哀鴻遍野,野,11,あいこうへんや
阿諛便佞,阿,8,あゆべんねい
阿諛便佞,諛,15,あゆべんねい
阿諛便佞,便,9,あゆべんねい
阿諛便佞,佞,7,あゆべんねい
暗雲低迷,暗,13,あんうんていめい
暗雲低迷,雲,12,あんうんていめい
暗雲低迷,低,7,あんうんていめい
暗雲低迷,迷,9,あんうんていめい
安居楽業,安,6,あんきょらくぎょう
安居楽業,居,8,あんきょらくぎょう
安居楽業,楽,13,あんきょらくぎょう
安居楽業,業,13,あんきょらくぎょう
安歩当車,安,6,あんぽとうしゃ
安歩当車,歩,8,あんぽとうしゃ
安歩当車,当,6,あんぽとうしゃ
安歩当車,車,7,あんぽとうしゃ
安如泰山,安,6,あんにょたいざん
安如泰山,如,6,あんにょたいざん
安如泰山,泰,10,あんにょたいざん
安如泰山,山,3,あんにょたいざん
暗渡陳倉,暗,13,あんとちんそう
暗渡陳倉,渡,12,あんとちんそう
暗渡陳倉,陳,11,あんとちんそう
暗渡陳倉,倉,10,あんとちんそう
安常処順,安,6,あんじょうしょじゅん
安常処順,常,11,あんじょうしょじゅん
安常処順,処,5,あんじょうしょじゅん
安常処順,順,12,あんじょうしょじゅん
暗黒沈静,暗,13,あんこくちんせい
暗黒沈静,黒,11,あんこくちんせい
暗黒沈静,沈,7,あんこくちんせい
暗黒沈静,静,14,あんこくちんせい
暗香浮動,暗,13,あんこうふどう
暗香浮動,香,9,あんこうふどう
暗香浮動,浮,10,あんこうふどう
暗香浮動,動,11,あんこうふどう
鴉巣生鳳,鴉,15,あそうせいほう
鴉巣生鳳,巣,11,あそうせいほう
鴉巣生鳳,生,5,あそうせいほう
鴉巣生鳳,鳳,14,あそうせいほう
愛楊葉児,愛,13,あいようように
愛楊葉児,楊,13,あいようように
愛楊葉児,葉,12,あいようように
愛楊葉児,児,7,あいようように
安土重遷,安,6,あんどじゅうせん
安土重遷,土,3,あんどじゅうせん
安土重遷,重,9,あんどじゅうせん
